node_id,true_best,tb_fam,top1_business_id,top1_label,hit1,hit3
0011ab75dc67a999437588145616b5bb,10000088,10000088,10000244,B站专线-盒子V2 10000244,0,0
003c9cf5a920e369322ab3a6e3c44a13,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
004119eaff185bef013c31d456c2a310,10000304,10000304,10000096,字节架构专线V3 10000096,0,1
00c47917172c6a11f3f8082a80f98bd6,10000304,10000304,10000078,七牛特招 10000078,0,0
00ce8c9913701e5dfca2ebdab4c26750,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
0118af89241a525d895390f498baeff8,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
012c86236e001be31d71af300dff9ca9,10000069,10000069,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
013033c1f4091d011c90f7b207bf88d3,10000079,10000079,10000304,快手严选 10000304,0,0
01350fb81f2ef6abea2387ec97e20c27,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
016d4d366b70678c8b0f724f5284b305,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
0184c835e4c62a07153483d100aeb514,10000123,10000123,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
01a8dfe736b07fbcf664a5e76112e991,10000069,10000069,10000244,B站专线-盒子V2 10000244,0,1
01b7346e126744ddb3d7f6c692f8cf79,10000183,10000183,10000304,快手严选 10000304,0,1
01c009339a9893a9708da94f91eccb43,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
01c049349947f090ef71cfe61da0eed4,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
01c56523b4e04ce7bb697f04f78bfec4,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
01e8092f6b1025868f6225cde985c7de,10000069,10000069,10000244,B站专线-盒子V2 10000244,0,1
022368d0b934cd689271b32ba8a3e5d2,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
027003dcd9dc51a3b757bff3a97ee2e7,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
029d3065f17b5b832870fbdb9dd5c30f,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
02b508f7da2d89d03088eda51884771a,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
02bd6a16ae8b9156259e73b05cb7c1a0,10000064,10000064,10000069,腾讯汇聚P2P 10000069,0,0
02d4d3789c5448886573990d54c0cee6,10000079,10000079,1380460970,七牛CDN 1380460970,0,0
02def36957ce0cbb0cc2ce53888bb621,10000074,10000074,10000074,腾讯直连独立 10000074,1,1
02e203f3c6246a8048e9e5c96ce065ec,10000294,10000294,1382680008,字节CDN专线 1382680008,0,0
02f067fa377d5ecab00116926d3c74ff,10000064,10000064,10000069,腾讯汇聚P2P 10000069,0,0
030246bf127253a9584245a77091678c,10000069,10000069,10000304,快手严选 10000304,0,1
03054b0a2a56dfd93273edaaf04e6558,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
031920ec562afc9d8b6d836bbeaac426,10000079,10000079,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
031fec1008f7e6a2e805e5b8640e0461,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
032e874019fc7be0f83bebef17267255,10000079,10000079,10000069,腾讯汇聚P2P 10000069,0,1
0335741becbc6ba5338430082711d57b,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
038b232106eea57a49648c88670f9b2b,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,0
03a420789167268f443a4bf7762b9637,10000304,10000304,1380460970,七牛CDN 1380460970,0,1
03c883f8f67fbc4c527a5a33e9b34f17,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
03e4d02a34f7495299a086bf59cc7ad6,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
03f9708b0e7b6d8dd9c21154993173a1,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
03f997758c2db3463511e2809c8f5b7b,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
04039371bf64985b266b921509d585b1,10000069,10000069,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
0407be1f56c57a4ef03e53e943bc7f87,10000325,10000325,10000096,字节架构专线V3 10000096,0,1
042e768e92109ca9704ad6ee60197956,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
043700c3e00d1406befd36b2c0fd657e,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
043a28cd72613539883c6bc8c1b682c6,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
043c835b4bc1f2814e08aaea921a9096,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
0446c0280ec8cfd3e8b51b5070e146d8,10000294,10000294,10000294,优酷汇聚晚高峰 10000294,1,1
0449194dc0be62dcb99476a1cdc2aae5,10000041,10000041,10000005,快手直播 10000005,0,0
04777d441ca38de78d6bd17679488f4f,10000304,10000304,10000304,快手严选 10000304,1,1
0485d8a944409562c94a2789a2ae7a5d,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
048985a37d76f5f236a3dd3e50b58b9d,1382680008,1382680008,10000034,优酷专线 10000034,0,1
04aac6e27e6525d85cf8ad91b9a9bba4,10000079,10000079,10000304,快手严选 10000304,0,0
04ae8c6f65797104419efd07a57e607d,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
04c06e1d099d3c520575e4615601a757,10000279,FQTZV,1380460970,七牛CDN 1380460970,0,1
04eb0bb6b6733224852e3de608018fbc,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
05382a3048da2ba7de22e09f39a5eef0,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
05665e1ca1c17851705f766dc0b59ba4,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
059f510882dfba4c9d0a9635e4ef5f57,10000069,10000069,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
05a0b861e08af7f335dc93f51af7fb6b,10000019,10000019,10000244,B站专线-盒子V2 10000244,0,0
05a12e6a4b32a9616aa5611c43e71505,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
05a3f118db5c98e33b4661cf05b9525f,10000064,10000064,10000069,腾讯汇聚P2P 10000069,0,0
05a9249d846cfaf1bc4a70b2c3b70974,10000003,10000003,10000244,B站专线-盒子V2 10000244,0,0
05b3c32222a4a4c1415c5c4d002dde26,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
05b694320f143fe3c1f682f8caa28406,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
05cdddd930d22667dd8dfa61290af898,10000183,10000183,10000304,快手严选 10000304,0,0
05d6aca5cec398f670c4fa0fff7f7e36,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
05daf6d94ca4dda660215e5e65a42029,10000079,10000079,1380460970,七牛CDN 1380460970,0,0
