business,business_name,source,source_path
10000221,金山云专线v2,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000222,1067扬州移动单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000223,江苏电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000224,字节CDN专线V4,node_day_ops_wide,v1_business_name_map_superset.csv
10000225,优云联通单向in-福州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000226,汇丰源,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000227,燚汇信达联通单向in-青岛,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000228,燚汇信达联通单向in-青岛-IDC,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000229,天翼云80,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000230,斯锐德电信单向in-宿迁,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000231,燚汇信达联通in-青岛,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000232,云算力联通in-十堰,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000233,云快线联通单向in-济南,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000234,优云电信单向in-泰州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000235,拉下行测试单向in-业务二,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000236,泓汇智诚移动单向in-肇庆,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000237,和顺泰电信单向in-西安,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000238,优云电信单向in-湖州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000239,t-江苏泰州-电信-68526-1-叠加in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000240,优云电信单向in-扬州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000241,斯锐德电信单向in-泰州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000242,定向J2,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000243,斯锐德电信单向in-泰州二,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000244,B站专线-盒子V2,node_day_ops_wide,v1_business_name_map_superset.csv
10000245,1018吉林白城联通-叠加in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000246,斯锐德电信单向in-泰州IDC,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000247,集泽电信单向in-盐城二,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000248,集泽电信单向in-盐城IDC,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000249,忆联电信双向in-贵阳,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000250,君豪联通叠加in-白城,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000251,优云联通单向in-金华,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000252,集泽电信单向in-盐城IDC二,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000253,集泽电信单向in-盐城B,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000254,定向J3云主机,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000255,云快线电信单向in-济南,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000256,科光讯联通单向in-太原,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000257,短J4,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000258,斯锐德电信单向in-青岛,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000259,闲时专享,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000260,迅雷专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000261,迅雷汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
