nodeid,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize,hardwaretype,os,arch
ant290a74b76350e3ae791f882fdcf8c,99.09,4,2055156,118111600640,0,0,118111600640,,android,armeabi-v7a
ant2fe2db87fc7ea3f73931235f8a87d,76.12,4,2089984,11220602060,0,0,11220602060,,android,armeabi-v7a
ant34ada3adfaca6a73bb7a982c48eca,411.53,12,8140404,549755813888,0,0,549755813888,,linux,x86_64
ant2c19bf1708a063b659872e453b96f,12.59,3,2054260,12884901888,0,0,12884901888,,android,armeabi-v7a
e3d114e9dedee54c6c1187f7d8497777,600.0,24,32879764,2303820457574,0,2089072092774,214748364800,,linux,x86_64
ant24d2bbeecc92e3f05a1e2846c581f,83.99,4,2019608,58057220423,0,0,58057220423,,android,armeabi-v7a
ant20ff6c7562b623dc2845c70e91e00,72.25,5,2971064,54009213747,0,0,54009213747,,android,armeabi-v7a
antb0d703660551938c6ce0622f4a18a,804.94,4,8131832,107374182400,0,0,107374182400,,linux,x86_64
2717bbd7d9dac5adbf8e28b6aa6017d5,150.0,4,8141844,536870912000,0,429496729600,107374182400,,linux,x86_64
ant21158c7e721bf3a8d8b427b35a9ef,101.46,4,2019608,27605902295,0,0,27605902295,,android,armeabi-v7a
ant23607b664952732a6b98ce4e781a9,106.06,4,1048576,4885525299,0,0,4885525299,,android,armeabi-v7a
ant2df6597b10f3033e8aa7ee1162be4,116.08,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2db25c5d3903431279e8391313536,357.84,4,1048576,5476083302,0,0,5476083302,,android,armeabi-v7a
ant21bed2c91621630b4838e555d3e0e,22.3,4,1048576,4885525299,0,0,4885525299,,android,armeabi-v7a
ant275676f2242583aeb9d1aedc813a2,105.11,4,1048576,5304284610,0,0,5304284610,,android,armeabi-v7a
ant2614da76691cf3c1fa1bea0e48c01,88.14,4,2053224,27605902295,0,0,27605902295,,android,armeabi-v7a
ant27a9d88d819c23e9289604e183cfd,98.38,4,1048576,5411658792,0,0,5411658792,,android,armeabi-v7a
ant20ec6bba327c73f6885d76fb7da5a,83.16,4,2020648,57047903109,0,0,57047903109,,android,armeabi-v7a
ant240103ade88283b6da52d98342936,81.02,4,3855048,24985972244,0,0,24985972244,,android,armeabi-v7a
ant2ffd80ed7cb5e3c01bfc1a0331499,83.8,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant27ac765104d8c33a7983b9725c5c6,346.65,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant255d3048e35db3910a9b8099db595,361.88,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant21fec3f7f82a233cca97cc4f49d3a,331.86,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant26af713136aa1352f8c172ecfd82a,96.92,4,2055156,118648471552,0,0,118648471552,,android,armeabi-v7a
ant228bba490b6de38ffab057ac6bf0d,32.26,4,1880992,26349624360,0,0,26349624360,,android,armeabi-v7a
ant2c7a188b5f70d35a0b1d342b47398,54.17,4,2056272,4359391805,0,0,4359391805,,android,armeabi-v7a
antb767a80bffb12dc4c0d8cfe110c5c,103.81,4,1909808,125090922496,0,0,125090922496,,linux,
ant221c261af6b33356abf73ba1e2754,216.83,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant247fcd65bbc8f365b8633eb66f95a,7.08,4,1048576,5175435591,0,0,5175435591,,android,armeabi-v7a
ant2afae961049de32fc9e039f719b89,95.71,4,2052184,4219805368,0,0,4219805368,,android,armeabi-v7a
ant233349eff773739599dd17ad02f6d,83.48,4,3855048,24985972244,0,0,24985972244,,android,armeabi-v7a
ant2f2655fa6a5cb3e2eade48deb4d6c,8.33,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant25141bbc5ea8436028e0868b89a7a,339.53,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant282c8cabf157f3d51a6ae7d1b29eb,183.64,4,3859896,54277649203,0,0,54277649203,,android,armeabi-v7a
4412dddba951377580495c9600211107,1200.0,32,32512108,2345159517798,0,2089072092774,256087425024,,linux,x86_64
ant2ffc167348ca731fa85f020df90fe,88.07,4,2777084,56682830888,0,0,56682830888,,android,armeabi-v7a
ant2f42b1d00d6a53a59970e7dda9f71,74.62,4,2054220,118476672860,0,0,118476672860,,android,armeabi-v7a
ant21710f63d7b763446939d6d621599,9.06,4,1899160,0,0,0,0,,android,armeabi-v7a
ant45b994e151c49f2400363c2673cf0,100.22,1,789368,4713726607,0,0,4713726607,,android,armeabi-v7a
ant2dfb4dc3f709f317cbc856a253166,129.74,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2d42f60eb62af4f316c8e768ab54a,270.29,4,1909808,123695058124,0,0,123695058124,,linux,aarch64
ant24483c575ef2235d88ba7d692c5d6,96.54,4,16777216,6292127088,0,0,6292127088,,android,armeabi-v7a
ant2420546c4620a3af798622e290234,52.89,3,8192000,2834678414,1417339207,0,1417339207,,android,armeabi-v7a
d58207cb7ed6e1bb9dae57d548a73f1a,600.0,32,16089264,1512365359104,0,1000190509056,512174850048,,linux,x86_64
ant2d39eed9e4ee5386292a7b5b90364,54.84,4,2053196,73809012981,61976378081,0,11832634900,,android,armeabi-v7a
ant216f21d0283763271a918417775dc,168.3,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant27e6b5e1fb1ad39259190a08dcfa8,333.2,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant4e10ade6abe8a85a58d012aea1c39,86.48,4,1909808,125090922496,0,0,125090922496,,linux,
ant2afdcdbf3f5823edb84d048e09974,78.47,4,2868504,53418655744,0,0,53418655744,,android,armeabi-v7a
ant257aa055845e13cb8ba4a981fa3ff,93.85,4,2055160,237833814016,0,119185342464,118648471552,,android,armeabi-v7a
ant211738df15b3c345e9abcb5b19801,78.97,4,1492180,10791105331,0,0,10791105331,,android,armeabi-v7a
ant26bcb73a64bef3e79ae765fbbbf46,83.63,4,2020648,3983582167,0,0,3983582167,,android,armeabi-v7a
4606967c9ac7804a58cc6a1d0726a6ce,2500.0,20,32607872,7952668819456,0,7696581394432,256087425024,,linux,x86_64
ant2a51e35317b7e392898a8666e6358,23.47,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant2f4c7deb6a644366595c1e25a46fa,68.81,4,2097152,12734578032,0,0,12734578032,,android,armeabi-v7a
ant2b9991a68ca003beb84934305800c,17.02,8,7743048,116640574341,0,0,116640574341,,android,armeabi-v7a
ant257f90434a0d534cba3e650af044f,96.35,4,3027544,50315541872,118111600,0,50197430272,,android,armeabi-v7a
ant23255a5bd8c4f35b38b5585aa3dec,66.27,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2307cf9c65ec8320cbbd8979fdd8e,65.87,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2740f829dc03333d4b8c57cecc640,178.62,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2cf33f957ee3d374cac75545b1e46,94.79,4,4003316,56489557360,0,0,56489557360,,android,armeabi-v7a
ant27bc23338d2523f01abb4d29b1e01,436.21,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2ed6e9940a82e327fa931071a14c2,24.58,4,2901012,26381836615,0,0,26381836615,,android,armeabi-v7a
ant258ea2a7d34ef388b86668b15e084,92.25,4,16777216,6302864506,0,0,6302864506,,android,armeabi-v7a
ant26d55c38a1f07399f8087667ff0bf,82.02,3,1048576,5368709120,0,0,5368709120,,android,armeabi-v7a
ant2fe81df58a8703432be2b1bd3dc8c,47.07,4,7958656,28003186769,0,0,28003186769,,android,armeabi-v7a
ant2f3992a0601a539ff8e0ce5c62fb2,174.55,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2cc8f95301250308487e35fa7e7a1,72.69,4,2054144,3339337072,0,0,3339337072,,android,armeabi-v7a
ant2141ed91031e237ce9751b9633c1f,422.27,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant807ee31749c9efa3ad831ba3c4b08,136.89,4,4027168,0,0,0,0,,linux,aarch64
ant226d8abc8cc183c3fa0d0a3bf5b83,5.0,4,2093056,3038689361,0,0,3038689361,,android,armeabi-v7a
ant20d70e403a86c333da2450af7f47d,48.71,4,2055160,57370025656,0,0,57370025656,,android,armeabi-v7a
ant22c741957d6cc30929f0946954594,62.4,4,2776980,56682830888,0,0,56682830888,,android,armeabi-v7a
ffba04e68698ee4833e3c3d97af4f000,10000.0,104,131186732,108012307165994,88290783710404,19241453486080,480069969510,,linux,x86_64
ant2bd74f67ce1a23a079ffa82b47740,548.82,4,1015940,5476083302,0,0,5476083302,,android,armeabi-v7a
ant232115cc9be5b304e89bd84bf05b1,24.91,4,1048576,5057323991,0,0,5057323991,,android,armeabi-v7a
ant27c1faaeba20b3a7bb0abc2fc7777,10.17,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant26ab3449173bb3c99812cfb9e91ac,585.33,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant230f2eef2a9a234f5a6cf0367a239,191.3,4,2054232,3242700308,0,0,3242700308,,android,armeabi-v7a
ant2e6cdc3e3ec3b3f7f8410c4162b2b,107.7,4,1048576,5411658792,0,0,5411658792,,android,armeabi-v7a
ant20dbfca040d5f37839dfa0930bbd8,119.14,4,1048576,5411658792,0,0,5411658792,,android,armeabi-v7a
ant2b71fa8e398013fd592d375c322ae,73.14,4,2019608,58057220423,0,0,58057220423,,android,armeabi-v7a
ant13dc967acef85bedd7c405762d28c,889.06,24,16087216,768262275072,0,512174850048,256087425024,,linux,x86_64
ant235e2c4bd7474301e8be29933e350,92.8,4,3932624,28132035788,0,0,28132035788,,android,armeabi-v7a
anta83cc798428ebeb28e1342fc14600,98.0,4,1909808,123695058124,0,0,123695058124,,linux,aarch64
ante97e5cee4010123f0d9f45b6c1947,21.65,4,1909808,123695058124,0,0,123695058124,,linux,
ant2e5385b5e069d3f68a096cca70128,91.32,4,3832724,53418655744,0,0,53418655744,,android,armeabi-v7a
fb07fa46c4b27bf39f6a4cf4feebddf7,2800.0,88,131443376,48528191232402,40132174413820,7916483719984,479533098598,,linux,x86_64
ant2d69fd08705243bd79acee6ba26d6,381.4,4,1018096,4842575626,0,0,4842575626,,android,armeabi-v7a
ant226fa917c36813c09bce8fd256a6d,2.75,4,2058012,27487790693,128849018,0,27358941675,,android,armeabi-v7a
ant2e23b74562329318ab77d67ee730d,20.71,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant28a61fe1b5b443a578896f408b450,26.34,4,2519368,24781961297,0,0,24781961297,,android,armeabi-v7a
ant2c80eeffd718d3dbea4879a49002e,75.18,4,968152,4885525299,0,0,4885525299,,android,armeabi-v7a
ant2c1f0e1cf99753c6fac6f196ade7b,79.89,4,4003212,55168854917,0,0,55168854917,,android,armeabi-v7a
ant2fbfb8ae2fd7f37519a6e571a9369,60.43,4,1048576,5411658792,0,0,5411658792,,android,armeabi-v7a
b95133ee76c2a01f4137017f6f5f8e89,5000.0,64,65601508,41706172553621,32545544182168,8136386045540,1024242325913,,linux,x86_64
ant2311d8277de3b30b3851b2fb71748,20.44,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant2d23d98b66c52324f8fdb365c2deb,94.22,4,2019608,27605902295,0,0,27605902295,,android,armeabi-v7a
ant21c47d312f3433b4ea03b3e878c92,87.18,4,1661616,24051816857,0,0,24051816857,,android,armeabi-v7a
ant28ab722e61f21345aa5b0edfebe88,62.66,4,2048076,118476672860,0,0,118476672860,,android,armeabi-v7a
ant24376ddec1c2a359fb8b8d50ceecc,86.51,4,2868504,53418655744,0,0,53418655744,,android,armeabi-v7a
ant28d7a218f260430c78f25f10c3a7d,8.25,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2b0c520d4b7383d1bb7e69eaeb027,39.85,4,2037492,11929271664,0,0,11929271664,,android,armeabi-v7a
ant2d09086d3acb0397388b098036f05,8.01,4,2020648,3983582167,0,0,3983582167,,android,armeabi-v7a
ant81e446526f37969330aab65bdf688,90.85,4,1844284,967763505971,960247313203,0,7516192768,,linux,aarch64
ant289cb364189d9386e84b1d82d79d6,117.61,4,2024280,58744415191,0,0,58744415191,,android,armeabi-v7a
ant2a37c9d1fb875348db82ff6938911,85.22,4,4003316,56489557360,0,0,56489557360,,android,armeabi-v7a
ant2b03a067ef3433648b30c0f87d260,449.4,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2ecbde391c2f03009a987859f1f61,73.8,4,4003316,121987808624,0,0,121987808624,,android,armeabi-v7a
ant28c490d0dece93526953178dae3ef,85.89,4,3704484,54621246586,0,0,54621246586,,android,armeabi-v7a
ant222ee385f03a63b90ae6e36885f6f,63.38,4,1537844,4874787880,0,0,4874787880,,android,armeabi-v7a
ant2e284121b8f383a21b6b594ee88fb,92.32,4,2053084,10501195038,0,0,10501195038,,android,armeabi-v7a
ant255c31e50362234c8b55bd3610997,351.71,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant244381b83e504332fb82b22c03392,30.71,4,1015924,1803886264,0,0,1803886264,,android,armeabi-v7a
ant2d84b5d810828341ea9e4d56b31ee,81.38,8,3678032,44581760532,0,0,44581760532,,android,armeabi-v7a
