node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
ant251b96d5f24c2308286f878eb953b,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,广东,电信,广州,droid.B,host,False,,0,android,armeabi-v7a,104.12,4.0,16777216.0,6302864506.0,0.0,0.0,6302864506.0
ant24b1ef94a81e73f36943545da9379,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河南,联通,新乡,droid.B,host,False,,0,,,,,,,,,
ant25637af3c17d836f1a1a5ec7ba4cb,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河南,联通,许昌,droid.B,host,False,,0,android,armeabi-v7a,35.25,4.0,8388608.0,5476083302.0,0.0,0.0,5476083302.0
84036e4782f80abc91059f04b1c80ee9,1077,aggregation,aggregation,serverDial,full,电信,self,specified,四川,联通,南充,jarvis.A,host,False,default,1000,linux,x86_64,650.0,32.0,32550516.0,2217062118194.0,0.0,2089072092774.0,127990025420.0
ant23a251b1cf31d3f88b208d55ae644,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,联通,天津,droid.B,host,False,,0,,,,,,,,,
ant2905f6b045b113e0594c76ff13801,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,联通,天津,droid.B,host,False,,0,,,,,,,,,
ant2942e33e23994358da81595c90b15,50903,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,联通,天津,droid.B,host,False,,0,android,armeabi-v7a,73.91,4.0,4063504.0,4724464025.0,0.0,0.0,4724464025.0
ant27fb33b7bb66330479664a4898369,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广西,电信,桂林,droid.B,host,False,,0,,,,,,,,,
ant2335223e9259731fcb4bec737a50d,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,重庆,联通,重庆,droid.B,host,False,,0,,,,,,,,,
ant26067a404265c3a0485000ced9235,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,黑龙江,联通,佳木斯,droid.B,host,False,,0,,,,,,,,,
ant013525d34a3999f7ed3b2b97d928a,92738,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山东,移动,枣庄,ant.B,,False,default,0,,,,,,,,,
ant22205e19b16653391bf4f475bcf32,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河南,联通,开封,droid.B,host,False,,0,,,,,,,,,
ant223c70d2d3c9537b1b2989de6c659,35230,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,安徽,移动,合肥,droid.B,host,False,,0,,,,,,,,,
ant215f5699f920e33439906082364bf,26010,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,沧州,droid.B,host,False,,0,,,,,,,,,
ant23166db01dd943eb497316f826d0d,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,吉林,联通,延边,droid.B,host,False,,0,android,armeabi-v7a,104.04,4.0,1009740.0,3661459619.0,0.0,0.0,3661459619.0
7af4d25aed11d2bfeef6594e616ca4ef,72187,idc,aggregation,dhcpNetCouple,full,电信,self,specified,浙江,移动,金华,jarvis.A,niulinkVm,False,,0,linux,,2000.0,24.0,16120848.0,1924145348608.0,0.0,1649267441664.0,274877906944.0
ant26101deb6a9ee31bf892c8c0106a2,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,江苏,电信,苏州,droid.B,host,False,,0,,,,,,,,,
ant24687fda224273ea0b14596154526,76214,smallBox,aggregation,dhcpNetSingle,full,,self,specified,贵州,电信,黔东南,droid.B,host,False,,0,android,armeabi-v7a,42.17,4.0,1048576.0,5282809774.0,0.0,0.0,5282809774.0
ant262f06944ed3c3e03b413f4c4c23a,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,安徽,联通,滁州,droid.B,host,False,,0,,,,,,,,,
ant295d6b2281bcf3c12a976561ca416,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,江苏,移动,泰州,droid.B,host,False,,0,,,,,,,,,
ant2899f0d1e6d6838728f094787e66b,52176,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江西,电信,鹰潭,droid.B,host,False,,0,,,,,,,,,
ant20836ce9bfb7e3d47a58ca8e36c27,89124,smallBox,aggregation,dhcpNetSingle,restricPort,联通,self,specified,河南,移动,许昌,droid.B,,False,on,0,android,armeabi-v7a,82.69,4.0,2048076.0,118476672860.0,0.0,0.0,118476672860.0
ant25063f2e6aae73db68d3e7936fe24,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,黑龙江,联通,绥化,droid.B,host,False,default,0,android,armeabi-v7a,564.63,4.0,1048576.0,4080218931.0,0.0,0.0,4080218931.0
