node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant20e72f66d6fd03926b8af529fe403,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20e75175f345d379f94572b668301,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20ead01b47466303e823530cd8808,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20f49fea328b23e69a89214dbb103,10000038,3.21,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant20fcffb572504322a9c999274450a,10000050,3.47,5.22,1,10000238,0.49,5.22,1,10000193,0.38,5.22,1
ant20ff97a006f0c33a486a802cb6d08,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2113833c5d4ec30f98192c9b0c102,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2113ed098f60b3c2f8bba3745f508,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2115f5194594e3d2287eb5aa5e406,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant211bb83b32107338aa2ad16e8bc02,10000149,5.31,5.41,1,10000038,3.21,5.22,1,10000251,1.24,5.22,1
ant212a5a23eb13839da9967e3befc07,10000050,3.11,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant212dfbac2207635bb85949b79870a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant212f36976ab7733269c883c078207,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21427572f0e023f389773d740fb00,10000149,7.42,5.41,1,10000129,5.28,5.22,1,10000084,3.87,5.95,1
ant214ba17fad3913e82b5bbdd6ea208,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2151ce82503a430968cf2efd9f201,10000251,1.84,5.22,1,10000273,0.9,5.22,1,10000238,0.65,5.22,1
ant2158f6ac99b9a7a9dcc5f31c76b0a,10000019,19.11,13.1,1,10000006,11.78,6.23,1,10000251,1.24,5.22,1
ant21594e569220337fd83450caa8604,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant215999c065a6f37df8304a1cad300,10000217,1.2,5.22,1,10000193,0.48,5.22,1,10000168,0.43,5.22,1
ant215d6262d0d6c3487a3041d8b6307,10000149,5.31,5.41,1,10000038,3.21,5.22,1,10000251,1.24,5.22,1
ant215eb3b75cc8f3f4bb372eeec6503,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant216126b1a511b3865bae5c4e2a001,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2162c28ace3f438bf983fe20c9303,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2163b52190b9c37508234a4d06901,10000149,3.95,5.41,1,10000084,3.23,5.95,1,10000038,2.49,5.22,1
ant2164d19de621f3454b3d605a9ac0a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2167474524ee032ae87cf20c32502,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2167d5338eae43115ad0790e80302,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21707b66643923e1b8d53d513040a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant217325c4631553758a6ab3a5db605,10000038,3.21,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant217db9e4eb1d43d30ae69f2245307,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2185840ca42d93b4287022d419b00,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21a22cd1ae28e3e049f422f944208,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21a93e2432ee4398bbafa171ce50c,10000084,3.33,5.95,1,10000083,2.57,5.22,1,10000251,2.07,5.22,1
ant21b6de0975b983bf6af167f14a606,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
